TopicID,Keywords,Document Count,Average Probability
0,"game, said, world, mr, time, u, like, hour, people, could",2127,0.0714
1,"mac, said, mini, pc, apple, computer, user, machine, people, dvd",2127,0.0177
2,"said, net, firm, network, user, people, security, software, search, technology",2127,0.0606
3,"mobile, people, said, technology, phone, game, get, network, time, robot",2127,0.0294
4,"mobile, said, phone, tv, game, service, people, technology, music, digital",2127,0.0606
5,"mobile, photo, music, phone, would, camera, said, print, picture, people",2127,0.0093
6,"world, net, standard, open, carpenter, tour, get, tournament, dr, ipv",2127,0.0311
7,"said, game, player, england, could, would, club, win, back, play",2127,0.1774
8,"said, mr, would, year, government, u, also, bn, new, people",2127,0.4201
9,"film, best, award, year, star, show, said, also, music, u",2127,0.1224
